alpha,beta,z ratio,smooth ratio
967352.9800201984,131298.78801126895,-0.7280104183632642,0.2649444431113492
967352.9800201984,131298.78801126895,-0.7280104183632642,0.2702497383411327
1037415.9686692626,138206.10232664517,-0.7000470147800054,0.2757235891375193
1084938.960332825,143176.50698238146,-0.6856676455979727,0.2810095390838181
1158189.743923681,150206.56770632582,-0.6588557638603767,0.2864371910789269
1158189.743923681,150206.56770632582,-0.6588557638603767,0.2913220778745248
1230033.5826484612,157631.79839611726,-0.6401981203813445,0.29618491707753875
1302493.2210459046,164498.623252714,-0.6170675347545546,0.301139737000921
1351054.635815877,169446.67453782418,-0.6059056745334858,0.30587812143749177
1420957.5614123289,176112.28561200638,-0.5867275776360809,0.31062211985284055
1420957.5614123289,176112.28561200638,-0.5867275776360809,0.3148917184266545
1490802.6553613734,183101.12356928093,-0.5719143519334339,0.3191046877856532
1557843.0860556876,189377.80809051383,-0.5549523338589201,0.3233204106606149
1600682.4690405177,193766.11909243854,-0.5479401427792961,0.32728986602507104
1600682.4690405177,193766.11909243854,-0.5479401427792961,0.33086237585308154
1663014.6693829177,199492.54338804356,-0.5327567256128719,0.3344572201274516
1722399.0354921173,205291.2325792968,-0.521911641039401,0.3379637070887214
1775850.2998419348,210405.98032439337,-0.5118157094498483,0.34137194364360307
1810800.705308946,213743.63632159782,-0.5054215985564171,0.34459920931533233
1810800.705308946,213743.63632159782,-0.5054215985564171,0.3475037484198887
1857537.1222334928,218007.05865229465,-0.495604613424941,0.3503632582422763
1898705.5938794916,221956.37628265697,-0.4887769130745741,0.35310750959118437
1898705.5938794916,221956.37628265697,-0.4887769130745741,0.35557733580520157
1935833.852198646,225394.10634986256,-0.4818723917701156,0.3579727924304285
1956627.3742636708,227268.25432405586,-0.4777063750358281,0.36023285381149
1981921.6709606308,229648.1876618843,-0.47348911589568204,0.3623723405329489
2002908.2238283956,231289.7196043328,-0.46754564277265775,0.3644464654103376
2002908.2238283956,231289.7196043328,-0.46754564277265775,0.3663131777999874
2015952.241598023,232644.96599862547,-0.4664123964991227,0.3680215501075106
2020813.6119361676,232866.38218987535,-0.46386514268907997,0.3696227665295325
2024538.780267475,233089.2394795762,-0.46231612882572826,0.37110258665593604
2024538.780267475,233089.2394795762,-0.46231612882572826,0.37243442476969923
2019235.6541691504,232258.80513883737,-0.46065869139512255,0.37367451500785126
2009070.1016604556,231317.5619877168,-0.4623862362715835,0.3747474076002765
2009070.1016604556,231317.5619877168,-0.4623862362715835,0.37571301093345927
1998533.8770479492,229881.5937601338,-0.4606889696315067,0.37662448559932565
1976569.1838442949,227881.02994960177,-0.46473338042705625,0.3773437025287167
1948530.780261657,224744.23153493967,-0.46547851151894276,0.37797236948787144
1948530.780261657,224744.23153493967,-0.46547851151894276,0.37853816975111076
1888783.3025642887,218730.12636409013,-0.4724871553736887,0.37887217389165745
1888783.3025642887,218730.12636409013,-0.4724871553736887,0.3791727776181495
1846396.4746599388,214687.4737640063,-0.4795079623516063,0.3792678007975444
